Time(s),Target_Vx,Go1_Vx,Target_YawRate,Go1_YawRate,Target_Roll,Go1_Roll,Stab_Roll,Obj_Roll,Target_Pitch,Go1_Pitch,Stab_Pitch,Obj_Pitch,Go1_Accel_X,Go1_Accel_Y,Go1_Accel_Z
0.001,0.300,0.018,0.000,0.023,0.000,2.120,0.000,0.000,0.000,1.090,0.000,0.000,-0.077,0.364,9.761
0.011,0.300,0.018,0.000,0.023,0.000,2.120,0.000,0.000,0.000,1.090,0.000,0.000,-0.077,0.364,9.761
0.021,0.300,0.020,0.000,0.037,0.000,2.098,0.000,0.000,0.000,1.094,0.000,0.000,-0.175,0.402,9.745
0.032,0.300,0.020,0.000,0.037,0.000,2.098,0.000,0.000,0.000,1.094,0.000,0.000,-0.175,0.402,9.745
0.042,0.300,0.021,0.000,0.017,0.000,2.083,0.000,0.000,0.000,1.104,0.000,0.000,-0.148,0.362,9.636
0.052,0.300,0.021,0.000,0.017,0.000,2.083,0.000,0.000,0.000,1.104,0.000,0.000,-0.148,0.362,9.636
0.063,0.300,0.021,0.000,-0.007,0.000,2.028,0.000,0.000,0.000,1.087,0.000,0.000,1.522,2.971,6.238
0.074,0.300,0.021,0.000,-0.007,0.000,2.028,0.000,0.000,0.000,1.087,0.000,0.000,1.522,2.971,6.238
0.084,0.300,-0.003,0.000,0.020,0.000,2.071,0.000,0.000,0.000,0.881,0.000,0.000,-5.914,-0.281,10.332
0.095,0.300,-0.046,0.000,-0.005,0.000,2.170,0.000,0.000,0.000,1.074,0.000,0.000,-4.055,0.165,14.756
0.105,0.300,-0.046,0.000,-0.005,0.000,2.170,0.000,0.000,0.000,1.074,0.000,0.000,-4.055,0.165,14.756
0.116,0.300,-0.061,0.000,-0.035,0.000,1.984,0.000,0.000,0.000,1.358,0.000,0.000,-0.442,0.502,7.934
0.126,0.300,-0.061,0.000,-0.035,0.000,1.984,0.000,0.000,0.000,1.358,0.000,0.000,-0.442,0.502,7.934
0.137,0.300,-0.072,0.000,-0.038,0.000,1.883,0.000,0.000,0.000,1.236,0.000,0.000,-0.302,1.287,3.237
0.147,0.300,-0.072,0.000,-0.038,0.000,1.883,0.000,0.000,0.000,1.236,0.000,0.000,-0.302,1.287,3.237
0.158,0.300,-0.069,0.000,-0.105,0.000,1.971,0.000,0.000,0.000,0.957,0.000,0.000,0.060,0.056,6.508
0.168,0.300,-0.069,0.000,-0.105,0.000,1.971,0.000,0.000,0.000,0.957,0.000,0.000,0.060,0.056,6.508
0.179,0.300,-0.047,0.000,0.068,0.000,1.954,0.000,0.000,0.000,0.536,0.000,0.000,3.177,-3.667,3.027
0.189,0.300,-0.047,0.000,0.068,0.000,1.954,0.000,0.000,0.000,0.536,0.000,0.000,3.177,-3.667,3.027
0.200,0.300,-0.039,0.000,0.001,0.000,2.129,0.000,0.000,0.000,0.347,0.000,0.000,2.827,-3.441,19.585
0.210,0.300,-0.039,0.000,0.001,0.000,2.129,0.000,0.000,0.000,0.347,0.000,0.000,2.827,-3.441,19.585
0.221,0.300,0.005,0.000,-0.044,0.000,1.452,0.000,0.000,0.000,0.061,0.000,0.000,-4.573,2.809,13.341
0.232,0.300,0.005,0.000,-0.044,0.000,1.452,0.000,0.000,0.000,0.061,0.000,0.000,-4.573,2.809,13.341
0.242,0.300,0.013,0.000,0.123,0.000,1.107,0.000,0.000,0.000,0.120,0.000,0.000,3.109,0.607,7.283
0.253,0.300,0.013,0.000,0.123,0.000,1.107,0.000,0.000,0.000,0.120,0.000,0.000,3.109,0.607,7.283
0.263,0.300,0.029,0.000,0.129,0.000,1.236,0.000,0.000,0.000,-0.028,0.000,0.000,0.760,0.813,10.322
0.274,0.300,0.029,0.000,0.129,0.000,1.236,0.000,0.000,0.000,-0.028,0.000,0.000,0.760,0.813,10.322
0.284,0.300,0.042,0.000,0.264,0.000,1.198,0.000,0.000,0.000,-0.329,0.000,0.000,1.355,-0.016,8.441
0.294,0.300,0.042,0.000,0.264,0.000,1.198,0.000,0.000,0.000,-0.329,0.000,0.000,1.355,-0.016,8.441
0.305,0.300,0.049,0.000,0.228,0.000,1.187,0.000,0.000,0.000,-0.663,0.000,0.000,-0.320,2.318,8.595
0.315,0.300,0.049,0.000,0.228,0.000,1.187,0.000,0.000,0.000,-0.663,0.000,0.000,-0.320,2.318,8.595
0.326,0.300,0.049,0.000,0.118,0.000,1.000,0.000,0.000,0.000,-1.068,0.000,0.000,-0.568,2.184,7.987
0.336,0.300,0.049,0.000,0.118,0.000,1.000,0.000,0.000,0.000,-1.068,0.000,0.000,-0.568,2.184,7.987
0.346,0.300,0.068,0.000,0.038,0.000,0.791,0.000,0.000,0.000,-1.229,0.000,0.000,1.638,-0.321,11.219
0.356,0.300,0.068,0.000,0.038,0.000,0.791,0.000,0.000,0.000,-1.229,0.000,0.000,1.638,-0.321,11.219
0.366,0.300,0.075,0.000,0.174,0.000,1.195,0.000,0.000,0.000,-0.822,0.000,0.000,3.255,-3.399,2.552
0.377,0.300,0.231,0.000,-0.059,0.000,1.448,0.000,0.000,0.000,-0.488,0.000,0.000,-3.383,-5.924,28.364
0.387,0.300,0.231,0.000,-0.059,0.000,1.448,0.000,0.000,0.000,-0.488,0.000,0.000,-3.383,-5.924,28.364
0.397,0.300,0.244,0.000,0.027,0.000,0.980,0.000,0.000,0.000,0.162,0.000,0.000,-1.403,3.488,9.707
0.407,0.300,0.244,0.000,0.027,0.000,0.980,0.000,0.000,0.000,0.162,0.000,0.000,-1.403,3.488,9.707
0.417,0.300,0.247,0.000,0.025,0.000,0.676,0.000,0.000,0.000,0.379,0.000,0.000,0.298,0.042,13.237
0.428,0.300,0.247,0.000,0.025,0.000,0.676,0.000,0.000,0.000,0.379,0.000,0.000,0.298,0.042,13.237
0.438,0.300,0.243,0.000,-0.150,0.000,0.323,0.000,0.000,0.000,0.248,0.000,0.000,0.468,0.729,5.502
0.448,0.300,0.243,0.000,-0.150,0.000,0.323,0.000,0.000,0.000,0.248,0.000,0.000,0.468,0.729,5.502
0.458,0.300,0.252,0.000,-0.201,0.000,0.278,0.000,0.000,0.000,-0.011,0.000,0.000,-0.015,-1.007,7.136
0.468,0.300,0.252,0.000,-0.201,0.000,0.278,0.000,0.000,0.000,-0.011,0.000,0.000,-0.015,-1.007,7.136
0.478,0.300,0.267,0.000,-0.205,0.000,0.339,0.000,0.000,0.000,-0.250,0.000,0.000,0.730,0.906,9.704
0.489,0.300,0.267,0.000,-0.205,0.000,0.339,0.000,0.000,0.000,-0.250,0.000,0.000,0.730,0.906,9.704
0.499,0.300,0.328,0.000,-0.049,0.000,0.562,0.000,0.000,0.000,-0.492,0.000,0.000,2.256,-2.025,7.704
0.509,0.300,0.328,0.000,-0.049,0.000,0.562,0.000,0.000,0.000,-0.492,0.000,0.000,2.256,-2.025,7.704
0.519,0.300,0.349,0.000,0.024,0.000,0.948,0.000,0.000,0.000,-0.603,0.000,0.000,2.736,-4.006,18.724
0.529,0.300,0.349,0.000,0.024,0.000,0.948,0.000,0.000,0.000,-0.603,0.000,0.000,2.736,-4.006,18.724
0.540,0.300,0.337,0.000,-0.057,0.000,0.309,0.000,0.000,0.000,-0.686,0.000,0.000,-2.687,-0.219,6.732
0.550,0.300,0.337,0.000,-0.057,0.000,0.309,0.000,0.000,0.000,-0.686,0.000,0.000,-2.687,-0.219,6.732
0.560,0.300,0.325,0.000,0.013,0.000,0.162,0.000,0.000,0.000,-0.502,0.000,0.000,-1.882,0.093,11.815
0.570,0.300,0.325,0.000,0.013,0.000,0.162,0.000,0.000,0.000,-0.502,0.000,0.000,-1.882,0.093,11.815
0.581,0.300,0.308,0.000,0.042,0.000,0.196,0.000,0.000,0.000,-0.395,0.000,0.000,1.084,0.167,9.441
0.591,0.300,0.308,0.000,0.042,0.000,0.196,0.000,0.000,0.000,-0.395,0.000,0.000,1.084,0.167,9.441
0.601,0.300,0.297,0.000,0.085,0.000,0.369,0.000,0.000,0.000,-0.353,0.000,0.000,-0.330,-0.297,7.875
0.612,0.300,0.297,0.000,0.085,0.000,0.369,0.000,0.000,0.000,-0.353,0.000,0.000,-0.330,-0.297,7.875
0.622,0.300,0.281,0.000,0.115,0.000,0.411,0.000,0.000,0.000,-0.433,0.000,0.000,-0.521,-0.326,7.772
0.632,0.300,0.281,0.000,0.115,0.000,0.411,0.000,0.000,0.000,-0.433,0.000,0.000,-0.521,-0.326,7.772
0.642,0.300,0.283,0.000,0.057,0.000,0.254,0.000,0.000,0.000,-0.633,0.000,0.000,1.543,1.186,9.794
0.653,0.300,0.283,0.000,0.057,0.000,0.254,0.000,0.000,0.000,-0.633,0.000,0.000,1.543,1.186,9.794
