Time(s),Target_Vx,Go1_Vx,Target_YawRate,Go1_YawRate,Target_Roll,Go1_Roll,Stab_Roll,Obj_Roll,Target_Pitch,Go1_Pitch,Stab_Pitch,Obj_Pitch,Go1_Accel_X,Go1_Accel_Y,Go1_Accel_Z
0.003,0.300,-0.000,0.600,0.005,0.000,2.545,-2.418,0.000,0.000,1.705,2.323,0.000,-0.264,0.430,9.721
0.016,0.300,-0.000,0.600,-0.003,0.000,2.550,-2.418,0.000,0.000,1.707,2.323,0.000,-0.298,0.444,9.701
0.026,0.300,-0.000,0.600,-0.003,0.000,2.550,-2.418,0.000,0.000,1.707,2.323,0.000,-0.298,0.444,9.701
0.037,0.300,-0.000,0.600,-0.006,0.000,2.553,-2.418,0.000,0.000,1.706,2.323,0.000,-0.280,0.450,9.638
0.051,0.300,-0.000,0.600,-0.006,0.000,2.553,-2.418,0.000,0.000,1.706,2.323,0.000,-0.280,0.450,9.638
0.061,0.300,-0.000,0.600,-0.087,0.000,2.547,-2.418,0.000,0.000,1.665,2.323,0.000,3.419,3.431,-2.340
0.071,0.300,-0.000,0.600,-0.087,0.000,2.547,-2.418,0.000,0.000,1.665,2.323,0.000,3.419,3.431,-2.340
0.082,0.300,0.050,0.600,0.190,0.000,2.694,-2.418,0.000,0.000,1.305,2.323,0.000,-2.719,1.012,13.254
0.092,0.300,0.050,0.600,0.190,0.000,2.694,-2.418,0.000,0.000,1.305,2.323,0.000,-2.719,1.012,13.254
0.103,0.300,0.047,0.600,0.363,0.000,2.946,-2.418,0.000,0.000,1.442,2.323,0.000,0.348,0.751,13.594
0.113,0.300,0.047,0.600,0.363,0.000,2.946,-2.418,0.000,0.000,1.442,2.323,0.000,0.348,0.751,13.594
0.124,0.300,0.054,0.600,0.441,0.000,2.962,-2.418,0.000,0.000,1.583,2.323,0.000,1.654,0.984,9.376
0.134,0.300,0.054,0.600,0.441,0.000,2.962,-2.418,0.000,0.000,1.583,2.323,0.000,1.654,0.984,9.376
0.145,0.300,0.080,0.600,0.479,0.000,2.827,-2.391,0.000,0.000,1.461,2.351,0.000,1.181,0.846,9.035
0.156,0.300,0.080,0.600,0.479,0.000,2.827,-2.289,0.000,0.000,1.461,2.256,0.000,1.181,0.846,9.035
0.166,0.300,0.109,0.600,0.538,0.000,2.761,-2.449,0.000,0.000,1.057,2.158,0.000,0.855,0.394,7.619
0.177,0.300,0.109,0.600,0.538,0.000,2.761,-2.449,0.000,0.000,1.057,2.158,0.000,0.855,0.394,7.619
0.187,0.300,0.153,0.600,0.701,0.000,2.901,-2.835,0.000,0.000,0.386,2.161,0.000,2.194,-2.382,3.353
0.197,0.300,0.153,0.600,0.701,0.000,2.901,-2.835,0.000,0.000,0.386,2.161,0.000,2.194,-2.382,3.353
0.208,0.300,0.148,0.600,0.497,0.000,3.063,-2.835,0.000,0.000,0.004,2.161,0.000,2.506,-0.346,1.503
0.219,0.300,0.148,0.600,0.497,0.000,3.063,-2.835,0.000,0.000,0.004,2.161,0.000,2.506,-0.346,1.503
0.229,0.300,0.238,0.600,0.403,0.000,2.488,-2.835,0.000,0.000,-0.183,2.161,0.000,-2.574,1.736,11.618
0.240,0.300,0.238,0.600,0.403,0.000,2.488,-2.427,0.000,0.000,-0.183,2.289,0.000,-2.574,1.736,11.618
0.250,0.300,0.196,0.600,0.293,0.000,2.304,-2.427,0.000,0.000,0.045,2.289,0.000,2.338,0.561,8.185
0.260,0.300,0.213,0.600,0.399,0.000,2.543,-16.245,0.000,0.000,0.207,3.875,0.000,2.035,0.250,9.278
0.271,0.300,0.213,0.600,0.399,0.000,2.543,-16.245,0.000,0.000,0.207,3.875,0.000,2.035,0.250,9.278
0.281,0.300,0.230,0.600,0.549,0.000,2.762,-14.722,0.000,0.000,0.289,-11.492,0.000,0.953,0.353,6.847
0.291,0.300,0.230,0.600,0.549,0.000,2.762,-14.722,0.000,0.000,0.289,-11.492,0.000,0.953,0.353,6.847
0.301,0.300,0.246,0.600,0.590,0.000,2.974,-14.722,0.000,0.000,0.251,-11.492,0.000,0.259,2.798,7.823
0.312,0.300,0.246,0.600,0.590,0.000,2.974,-14.722,0.000,0.000,0.251,-11.492,0.000,0.259,2.798,7.823
0.322,0.300,0.261,0.600,0.567,0.000,3.161,-14.722,0.000,0.000,0.155,-11.492,0.000,1.701,0.125,8.564
0.332,0.300,0.261,0.600,0.567,0.000,3.161,-4.070,0.000,0.000,0.155,-3.464,0.000,1.701,0.125,8.564
0.342,0.300,0.300,0.600,0.659,0.000,2.933,-24.084,0.000,0.000,-0.012,-1.078,0.000,0.039,0.112,13.667
0.353,0.300,0.300,0.600,0.659,0.000,2.933,-24.084,0.000,0.000,-0.012,-1.078,0.000,0.039,0.112,13.667
